time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-08T13:26:25.194Z,33.5089,75.7595,10,4.4,mb,,147,2.084,0.59,us,us7000cc3t,2020-11-08T15:53:58.040Z,"21 km N of Kishtwār, India",earthquake,5.3,1.9,0.115,22,reviewed,us,us
2020-11-06T22:59:17.883Z,33.5483,75.7314,10,4.3,mb,,95,2.058,1.06,us,us7000cbmi,2020-11-07T03:21:59.665Z,"26 km N of Kishtwār, India",earthquake,7.1,2,0.138,15,reviewed,us,us
2020-10-31T16:59:44.352Z,34.1448,78.1161,34.65,4.4,mb,,131,4.061,1.23,us,us7000c8na,2020-10-31T17:29:25.040Z,"49 km E of Leh, India",earthquake,4.5,5.7,0.123,19,reviewed,us,us
2020-10-08T03:52:10.644Z,35.0808,75.4717,51.43,4.1,mb,,105,2.314,0.64,us,us6000c80y,2020-11-02T04:32:40.040Z,"28 km SSW of Skardu, Pakistan",earthquake,7.4,5.3,0.213,6,reviewed,us,us
2020-10-07T16:18:08.290Z,32.3518,80.5666,10,4.4,mb,,145,6.266,0.84,us,us6000c6hc,2020-10-14T22:48:55.040Z,"220 km NNE of Joshīmath, India",earthquake,9.5,1.9,0.115,22,reviewed,us,us
2020-10-06T06:13:39.363Z,34.0992,79.1272,10,4.7,mb,,82,4.894,0.55,us,us6000c5zr,2020-11-03T14:26:21.040Z,"142 km E of Leh, India",earthquake,7.2,1.8,0.07,64,reviewed,us,us
2020-10-05T23:43:20.808Z,34.171,79.2064,10,5,mww,,21,7.017,0.62,us,us6000c5y3,2020-10-10T22:18:55.040Z,"149 km E of Leh, India",earthquake,6.9,1.7,0.086,13,reviewed,us,us
2020-09-28T05:12:34.992Z,33.229,75.8586,10,4.6,mb,,80,2.206,0.71,us,us6000c222,2020-11-09T06:23:25.735Z,"12 km SE of Kishtwār, India",earthquake,6.4,1.6,0.093,35,reviewed,us,us
2020-09-27T17:27:42.171Z,34.1615,78.1677,10,4.9,mww,,98,4.105,1.25,us,us6000c1yn,2020-10-25T17:08:39.889Z,"53 km E of Leh, India",earthquake,5.8,1.8,0.098,10,reviewed,us,us
2020-09-26T06:32:06.501Z,34.6816,74.3288,57.65,4.6,mb,,82,1.353,0.47,us,us6000c1ja,2020-11-04T05:56:35.040Z,"41 km NW of Bandipura, India",earthquake,8,7.9,0.085,41,reviewed,us,us
2020-09-25T18:14:35.455Z,34.0161,78.1669,10,3.8,mb,,75,4.093,1.1,us,us6000c1i2,2020-10-24T18:56:13.970Z,"56 km ESE of Leh, India",earthquake,4.8,1.9,0.142,16,reviewed,us,us
2020-09-25T10:57:13.221Z,34.2487,78.2058,10,5.3,mww,,38,4.146,0.61,us,us6000c13w,2020-10-29T12:12:39.040Z,"58 km E of Leh, India",earthquake,6.4,1.8,0.073,18,reviewed,us,us
2020-09-22T16:10:29.177Z,34.0837,74.7947,10,4.4,mb,,134,1.341,0.29,us,us6000bzub,2020-09-27T18:56:09.670Z,"1 km WSW of Srinagar, India",earthquake,5.9,2,0.309,3,reviewed,us,us
2020-09-22T03:46:51.500Z,35.7041,77.8313,62.17,4.1,mb,,110,4.281,0.97,us,us6000bzjp,2020-10-09T00:31:53.554Z,Kashmir-Xinjiang border region,earthquake,5.2,11,0.233,5,reviewed,us,us
2020-09-10T20:23:33.551Z,33.076,73.6571,10,4.3,mb,,96,0.658,1.2,us,us7000blew,2020-09-15T16:56:20.040Z,"11 km SW of New Mirpur, Pakistan",earthquake,5.8,1.9,0.1,28,reviewed,us,us
2020-08-28T07:58:49.503Z,33.2812,72.6123,10,4.5,mb,,81,0.66,0.69,us,us7000be7y,2020-11-07T18:48:31.040Z,"32 km E of Pindi Gheb, Pakistan",earthquake,6.5,1.9,0.099,30,reviewed,us,us
2020-07-07T20:42:19.337Z,33.042,73.6132,10,4.5,mb,,132,0.672,0.92,us,us7000ajnr,2020-09-11T22:14:27.040Z,"16 km NW of Jhelum, Pakistan",earthquake,5.8,1.9,0.087,45,reviewed,us,us
2020-07-06T19:24:27.542Z,33.0557,73.6156,10,4.1,mb,,145,0.66,1.14,us,us7000aizr,2020-09-11T22:14:21.040Z,"16 km SW of New Mirpur, Pakistan",earthquake,6.5,1.6,0.144,13,reviewed,us,us
2020-07-02T07:40:37.191Z,32.998,75.9509,10,4.6,mb,,145,2.338,0.82,us,us7000ak4u,2020-09-11T22:13:52.040Z,"21 km E of Bhadarwāh, India",earthquake,10.2,1.9,0.122,20,reviewed,us,us
